Designator,Mid X,Mid Y,Layer,Rotation
C1,132.000000,-119.000000,top,90.000000
C2,141.000000,-119.000000,top,90.000000
C3,135.000000,-119.000000,top,90.000000
C4,139.500000,-78.600000,top,90.000000
C5,139.500000,-75.000000,top,90.000000
C6,139.500000,-85.800000,top,90.000000
C7,157.000000,-133.000000,top,0.000000
C8,164.000000,-135.000000,top,90.000000
C10,158.657600,-144.051800,top,102.500000
C11,168.469900,-140.480400,top,117.500000
C12,177.023600,-134.491100,top,132.500000
C13,183.735700,-126.492000,top,147.500000
C14,188.148700,-117.028200,top,162.500000
C15,189.961900,-106.744800,top,177.500000
C16,189.051800,-96.342400,top,-167.500000
C17,185.480400,-86.530100,top,-152.500000
C18,179.491100,-77.976400,top,-137.500000
C19,171.492000,-71.264300,top,-122.500000
C20,162.028200,-66.851300,top,-107.500000
C21,151.744800,-65.038100,top,-92.500000
C22,148.255200,-65.038100,top,-87.500000
C23,137.971800,-66.851300,top,-72.500000
C24,128.508000,-71.264300,top,-57.500000
C25,120.508900,-77.976400,top,-42.500000
C26,114.519600,-86.530100,top,-27.500000
C27,110.948200,-96.342400,top,-12.500000
C28,110.038100,-106.744800,top,2.500000
C29,111.851300,-117.028200,top,17.500000
C30,116.264300,-126.492000,top,32.500000
C31,122.976400,-134.491100,top,47.500000
C32,131.530100,-140.480400,top,62.500000
C33,141.342400,-144.051800,top,77.500000
D1,150.000000,-132.000000,top,0.000000
F1,142.000000,-135.000000,top,0.000000
J1,150.000000,-151.600000,top,0.000000
LED1,154.960000,-142.674900,top,7.500000
LED2,164.542000,-140.107400,top,22.500000
LED3,173.132900,-135.147400,top,37.500000
LED4,180.147400,-128.132900,top,52.500000
LED5,185.107400,-119.542000,top,67.500000
LED6,187.674900,-109.960000,top,82.500000
LED7,187.674900,-100.040000,top,97.500000
LED8,185.107400,-90.458000,top,112.500000
LED9,180.147400,-81.867100,top,127.500000
LED10,173.132900,-74.852600,top,142.500000
LED11,164.542000,-69.892600,top,157.500000
LED12,154.960000,-67.325100,top,172.500000
LED13,145.040000,-67.325100,top,-172.500000
LED14,135.458000,-69.892600,top,-157.500000
LED15,126.867100,-74.852600,top,-142.500000
LED16,119.852600,-81.867100,top,-127.500000
LED17,114.892600,-90.458000,top,-112.500000
LED18,112.325100,-100.040000,top,-97.500000
LED19,112.325100,-109.960000,top,-82.500000
LED20,114.892600,-119.542000,top,-67.500000
LED21,119.852600,-128.132900,top,-52.500000
LED22,126.867100,-135.147400,top,-37.500000
LED23,135.458000,-140.107400,top,-22.500000
LED24,145.040000,-142.674900,top,-7.500000
R1,139.500000,-82.200000,top,90.000000
R2,160.500000,-85.800000,top,90.000000
R3,160.500000,-82.200000,top,90.000000
R4,136.000000,-84.000000,top,90.000000
R5,164.000000,-125.000000,top,0.000000
R6,164.000000,-128.500000,top,0.000000
R7,153.000000,-138.500000,top,0.000000
R8,133.000000,-79.500000,top,0.000000
SW1,136.000000,-91.000000,top,0.000000
SW2,136.000000,-99.000000,top,0.000000
SW3,164.000000,-91.000000,top,0.000000
U1,150.000000,-81.000000,top,0.000000
U2,138.000000,-125.000000,top,0.000000
U3,159.500000,-138.500000,top,0.000000
